Date,MP
1999-11-02,17:04
1999-11-03,36:40
1999-11-05,20:41
1999-11-06,24:01
1999-11-09,35:55
1999-11-12,19:20
1999-11-13,11:26
1999-11-16,24:00
1999-11-17,31:37
1999-11-19,27:58
1999-11-20,30:39
1999-11-23,28:36
1999-11-24,26:27
1999-11-26,22:36
1999-11-27,17:12
1999-11-29,24:40
1999-12-01,28:19
1999-12-03,17:15
1999-12-05,33:08
1999-12-07,34:46
1999-12-09,26:59
1999-12-11,27:23
1999-12-16,24:58
1999-12-17,20:04
1999-12-20,12:57
1999-12-21,28:08
1999-12-23,20:52
1999-12-28,21:25
1999-12-30,14:41
2000-01-03,19:35
2000-01-04,25:41
2000-01-14,32:02
2000-01-15,12:34
2000-01-18,30:25
2000-01-19,28:19
2000-01-22,30:40
2000-01-24,26:28
2000-01-27,24:00
2000-01-29,24:00
2000-02-03,15:33
2000-02-04,32:10
2000-02-06,12:53
2000-02-07,17:52
2000-02-09,23:06
2000-02-15,35:01
2000-02-16,30:51
2000-02-18,23:11
2000-02-20,27:34
2000-02-21,24:29
2000-02-24,24:00
2000-02-27,29:36
2000-02-29,37:41
2000-03-03,20:03
2000-03-06,35:41
2000-03-08,24:12
2000-03-09,38:38
2000-03-11,35:12
2000-03-12,23:42
2000-03-14,29:44
2000-03-16,37:02
2000-03-18,36:16
2000-03-22,21:52
2000-04-10,20:50
2000-04-13,19:54
2000-04-16,19:42
2000-04-18,23:05
