Date,MP
1999-11-02,18:23
1999-11-03,15:20
1999-11-05,21:39
1999-11-06,25:26
1999-11-09,10:53
1999-11-12,16:34
1999-11-13,25:59
1999-11-16,15:00
1999-11-17,13:06
1999-11-20,2:25
1999-12-21,5:46
1999-12-23,16:22
1999-12-28,16:10
1999-12-30,23:41
2000-01-03,19:35
2000-01-04,16:37
2000-01-06,16:08
2000-01-08,23:00
2000-01-10,18:33
2000-01-12,17:00
2000-01-14,7:08
2000-01-15,11:54
2000-01-18,14:08
2000-01-19,22:49
2000-01-22,9:00
2000-01-24,19:20
2000-01-27,19:21
2000-01-29,18:13
2000-02-01,15:27
2000-02-03,20:52
2000-02-04,17:46
2000-02-06,12:55
2000-02-07,22:39
2000-02-09,14:08
2000-02-15,25:02
2000-02-16,21:29
2000-02-20,16:32
2000-02-21,19:43
2000-02-24,22:18
2000-02-27,13:10
2000-02-29,10:11
2000-03-03,18:22
2000-03-06,11:28
2000-03-08,21:37
2000-03-09,34:28
2000-03-11,16:32
2000-03-12,22:03
2000-03-14,16:26
2000-03-16,15:07
2000-03-18,26:12
2000-03-22,23:16
2000-03-24,16:28
2000-03-26,18:17
2000-03-28,14:42
2000-03-30,13:06
2000-04-01,22:39
2000-04-02,29:29
2000-04-05,13:06
2000-04-06,25:13
2000-04-08,4:14
2000-04-10,11:30
2000-04-11,22:06
2000-04-13,15:13
2000-04-16,19:01
2000-04-18,17:41
2000-04-19,23:23
