G,Date,Opponent,,Tm,Opp,W,L,Streak
,,,,,,,,
1,Fri Nov 1 1996,Boston Celtics,W,107,98,1,0,W 1
2,Sat Nov 2 1996,Philadelphia 76ers,W,115,86,2,0,W 2
3,Tue Nov 5 1996,Vancouver Grizzlies,W,96,73,3,0,W 3
4,Wed Nov 6 1996,Miami Heat,W,106,100,4,0,W 4
5,Fri Nov 8 1996,Detroit Pistons,W,98,80,5,0,W 5
6,Sat Nov 9 1996,Boston Celtics,W,104,92,6,0,W 6
7,Mon Nov 11 1996,Phoenix Suns,W,97,79,7,0,W 7
8,Wed Nov 13 1996,Miami Heat,W,103,71,8,0,W 8
9,Fri Nov 15 1996,Charlotte Hornets,W,110,87,9,0,W 9
10,Sat Nov 16 1996,Atlanta Hawks,W,97,69,10,0,W 10
11,Wed Nov 20 1996,Phoenix Suns,W,113,99,11,0,W 11
12,Thu Nov 21 1996,Denver Nuggets,W,110,92,12,0,W 12
13,Sat Nov 23 1996,Utah Jazz,L,100,105,12,1,L 1
14,Mon Nov 25 1996,Los Angeles Clippers,W,88,84,13,1,W 1
15,Fri Nov 29 1996,Dallas Mavericks,W,116,97,14,1,W 2
16,Sat Nov 30 1996,San Antonio Spurs,W,97,88,15,1,W 3
17,Tue Dec 3 1996,Milwaukee Bucks,W,107,104,16,1,W 4
18,Thu Dec 5 1996,Los Angeles Clippers,W,114,96,17,1,W 5
19,Sat Dec 7 1996,Miami Heat,L,80,83,17,2,L 1
20,Sun Dec 8 1996,Toronto Raptors,L,89,97,17,3,L 2
21,Wed Dec 11 1996,Minnesota Timberwolves,W,103,86,18,3,W 1
22,Fri Dec 13 1996,New Jersey Nets,W,113,92,19,3,W 2
23,Sat Dec 14 1996,Charlotte Hornets,W,87,82,20,3,W 3
24,Tue Dec 17 1996,Los Angeles Lakers,W,129,123,21,3,W 4
25,Thu Dec 19 1996,Charlotte Hornets,W,93,72,22,3,W 5
26,Sat Dec 21 1996,Philadelphia 76ers,W,111,105,23,3,W 6
27,Mon Dec 23 1996,New Jersey Nets,W,113,81,24,3,W 7
28,Wed Dec 25 1996,Detroit Pistons,W,95,83,25,3,W 8
29,Thu Dec 26 1996,Atlanta Hawks,L,103,108,25,4,L 1
30,Sat Dec 28 1996,Cleveland Cavaliers,W,102,97,26,4,W 1
31,Mon Dec 30 1996,Indiana Pacers,W,81,79,27,4,W 2
32,Fri Jan 3 1997,Orlando Magic,W,110,89,28,4,W 3
33,Mon Jan 6 1997,Utah Jazz,W,102,89,29,4,W 4
34,Fri Jan 10 1997,Milwaukee Bucks,W,116,101,30,4,W 5
35,Sat Jan 11 1997,Houston Rockets,W,110,86,31,4,W 6
36,Tue Jan 14 1997,Washington Bullets,W,108,107,32,4,W 7
37,Wed Jan 15 1997,Minnesota Timberwolves,W,112,102,33,4,W 8
38,Fri Jan 17 1997,Milwaukee Bucks,W,100,73,34,4,W 9
39,Sun Jan 19 1997,Houston Rockets,L,86,102,34,5,L 1
40,Tue Jan 21 1997,New York Knicks,W,88,87,35,5,W 1
41,Thu Jan 23 1997,Cleveland Cavaliers,W,87,71,36,5,W 2
42,Sat Jan 25 1997,Toronto Raptors,W,110,98,37,5,W 3
43,Tue Jan 28 1997,Vancouver Grizzlies,W,111,96,38,5,W 4
