Age,G,MP,FGA,3PA,2PA,ORB,DRB,AST,STL,BLK
24,82,3002,1300,2,1298,303,680,164,138,319
25,82,3095,1366,7,1359,335,728,208,127,320
26,68,2564,1074,8,1066,261,568,181,158,305
27,82,3211,1348,17,1331,229,727,301,127,264
28,80,3241,1658,29,1629,241,614,381,139,265
29,81,3074,1487,20,1467,234,643,236,134,262
30,82,3019,1378,9,1369,319,681,247,111,271
31,6,147,72,0,72,19,32,8,6,6
32,73,2457,1065,4,1061,239,536,199,64,192
33,49,1554,527,1,526,148,344,103,69,119
34,80,2557,1031,2,1029,193,577,142,97,183
35,80,2371,823,1,822,208,483,116,80,197
36,78,2303,672,0,672,191,456,94,86,140
37,64,1676,420,0,420,163,345,61,52,111
