Age,G,MP,FGA,3PA,2PA,ORB,DRB,AST,STL,BLK
21,79,2668,857,257,600,152,278,607,151,24
22,81,3034,1293,396,897,203,350,783,175,26
23,55,1964,529,165,364,64,185,496,124,20
23,22,791,203,65,138,30,60,200,45,8
23,33,1173,326,100,226,34,125,296,79,12
24,82,3118,859,233,626,108,402,745,162,26
25,50,2060,698,123,575,87,252,539,114,19
26,67,2616,855,166,689,96,387,678,134,28
27,77,3065,1097,232,865,91,403,753,166,23
28,82,3056,1138,364,774,130,465,808,175,20
29,80,2989,1244,370,874,110,394,711,179,25
30,67,2450,959,293,666,85,343,618,122,14
31,66,2435,855,358,497,94,394,545,123,9
32,80,2975,905,395,510,86,494,672,150,29
33,80,2933,908,361,547,135,520,736,127,23
34,80,2906,793,312,481,94,506,806,136,26
34,51,1895,549,236,313,58,354,530,74,15
34,29,1011,244,76,168,36,152,276,62,11
35,81,2886,618,323,295,85,415,702,160,39
36,80,2881,671,414,257,48,397,724,145,35
37,80,2653,596,391,205,35,316,655,134,29
38,48,1379,273,223,50,15,183,264,82,10
39,76,2043,409,325,84,50,273,249,125,25
