Age,G,MP,FGA,3PA,2PA,ORB,DRB,AST,STL,BLK
22,81,2475,1016,2,1014,174,544,236,105,44
23,82,2857,1422,7,1415,278,577,158,104,60
24,82,3198,1650,5,1645,277,709,199,117,50
25,80,3126,1559,16,1543,259,594,219,144,70
26,82,3122,1627,43,1584,232,679,226,121,50
27,82,3302,1608,14,1594,236,731,270,89,79
28,81,3054,1516,17,1499,225,684,241,108,51
29,82,3099,1443,20,1423,227,692,308,124,85
30,82,3329,1552,32,1520,235,705,328,125,126
31,82,3126,1548,41,1507,156,715,285,129,85
32,82,3113,1520,40,1480,175,629,345,138,56
33,82,2998,1571,13,1558,193,616,368,113,48
34,81,3030,1472,6,1466,189,645,316,96,70
35,49,1832,797,1,796,107,356,201,62,28
36,82,2947,1476,8,1468,169,610,304,79,71
37,81,2895,1345,5,1340,114,555,361,93,62
38,80,3040,1399,25,1374,142,544,341,152,59
39,81,2936,1289,14,1275,113,515,379,136,31
40,42,1373,400,1,399,61,306,163,50,20
