Age,G,MP,FGA,3PA,2PA,ORB,DRB,AST,STL,BLK
18,71,1103,422,136,286,47,85,91,49,23
19,79,2056,913,220,693,79,163,199,74,40
20,50,1896,779,101,678,53,211,190,72,50
21,66,2524,1183,144,1039,108,308,323,106,62
22,68,2783,1510,200,1310,104,295,338,114,43
23,80,3063,1597,132,1465,112,329,438,118,35
24,82,3401,1924,324,1600,106,458,481,181,67
25,65,2447,1178,217,961,103,256,330,112,28
26,66,2689,1324,387,937,95,297,398,86,53
27,80,3277,2173,518,1655,71,354,360,147,30
28,77,3140,1757,398,1359,75,364,413,111,36
29,82,3192,1690,415,1275,94,423,441,151,40
30,82,2960,1712,336,1376,90,339,399,120,37
31,73,2835,1569,301,1268,78,313,365,113,20
32,82,2779,1639,356,1283,83,336,388,99,12
33,58,2232,1336,287,1049,66,247,264,69,18
34,78,3013,1595,407,1188,66,367,469,106,25
35,6,177,73,16,57,2,24,38,7,1
36,35,1207,713,184,529,26,173,197,47,7
37,66,1863,1113,467,646,41,206,184,62,13
