Rk,G,Date,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1999-11-02,UTA,W,91,84,33,76,.434,8,13,.615,17,26,.654,16,45,22,9,6,16,27
2,2,1999-11-03,VAN,W,103,88,46,91,.505,1,8,.125,10,17,.588,15,47,31,11,5,13,26
3,3,1999-11-06,POR,L,82,97,31,78,.397,3,12,.250,17,34,.500,15,39,16,8,3,14,24
4,4,1999-11-07,DAL,W,105,97,40,86,.465,5,19,.263,20,37,.541,15,51,24,7,2,11,29
5,5,1999-11-09,DAL,W,123,101,53,85,.624,5,12,.417,12,28,.429,14,53,21,8,6,21,24
6,6,1999-11-10,HOU,W,89,88,32,81,.395,5,12,.417,20,24,.833,12,42,20,10,4,15,29
7,7,1999-11-12,HOU,L,81,97,28,83,.337,3,9,.333,22,25,.880,15,39,15,9,5,15,21
8,8,1999-11-14,ATL,W,93,88,36,84,.429,4,9,.444,17,33,.515,18,47,19,12,7,12,21
9,9,1999-11-15,PHO,W,91,82,29,76,.382,2,10,.200,31,46,.674,14,52,11,4,11,10,18
10,10,1999-11-18,DEN,L,82,93,34,75,.453,6,13,.462,8,22,.364,7,35,28,7,8,12,26
11,11,1999-11-19,CHI,W,103,95,29,63,.460,2,7,.286,43,64,.672,11,46,19,7,10,18,29
12,12,1999-11-21,TOR,L,102,111,42,91,.462,4,16,.250,14,27,.519,15,50,26,3,4,11,26
13,13,1999-11-24,UTA,W,90,82,31,64,.484,2,10,.200,26,41,.634,11,44,17,8,4,16,22
14,14,1999-11-26,NJN,W,103,80,45,83,.542,4,10,.400,9,14,.643,8,44,28,5,7,10,20
15,15,1999-11-30,SEA,W,101,77,40,77,.519,5,12,.417,16,21,.762,7,44,27,7,8,9,20
16,16,1999-12-01,GSW,W,93,75,35,93,.376,1,11,.091,22,29,.759,23,57,18,10,5,13,23
17,17,1999-12-03,POR,W,93,80,31,86,.360,4,19,.211,27,41,.659,17,57,12,9,7,6,22
