Rk,G,Date,Age,Tm,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1995-11-03,34-174,CHI,CHH,W (+14),1,27:00,1,3,.333,0,0,,0,0,,4,7,11,1,0,0,2,3,2,2.7
2,2,1995-11-04,34-175,CHI,BOS,W (+22),1,22:00,0,0,,0,0,,0,0,,1,7,8,2,0,0,3,3,0,0.0
3,3,1995-11-07,34-178,CHI,TOR,W (+9),1,41:00,4,4,1.000,0,0,,3,4,.750,2,11,13,6,1,0,3,3,11,15.1
4,4,1995-12-06,34-207,CHI,NYK,W (+7),1,38:00,2,5,.400,0,0,,2,5,.400,7,13,20,2,1,0,0,3,6,12.1
5,5,1995-12-08,34-209,CHI,SAS,W (+19),1,40:00,4,5,.800,0,0,,0,0,,6,15,21,3,2,0,3,4,8,14.3
6,6,1995-12-09,34-210,CHI,MIL,W (+12),1,41:00,2,5,.400,0,0,,0,0,,8,13,21,4,3,0,1,5,4,13.6
7,7,1995-12-13,34-214,CHI,ORL,W (+9),1,37:00,3,8,.375,0,2,.000,2,2,1.000,9,10,19,2,0,2,4,3,8,10.5
8,8,1995-12-14,34-215,CHI,ATL,W (+19),1,28:00,2,3,.667,0,1,.000,0,0,,1,9,10,3,0,1,1,2,4,7.1
9,9,1995-12-16,34-217,CHI,LAL,W (+20),1,36:00,2,5,.400,0,2,.000,0,0,,4,11,15,4,1,1,3,1,4,8.5
10,10,1995-12-18,34-219,CHI,BOS,W (+9),1,35:00,1,3,.333,0,0,,3,4,.750,5,12,17,2,1,0,2,3,5,9.2
11,11,1995-12-19,34-220,CHI,DAL,W (+13),1,27:00,0,5,.000,0,1,.000,1,2,.500,2,11,13,4,0,1,2,1,1,2.9
12,12,1995-12-22,34-223,CHI,TOR,W (+9),1,25:00,4,9,.444,0,0,,0,0,,6,2,8,1,1,1,1,1,8,9.1
13,13,1995-12-23,34-224,CHI,UTA,W (+14),1,26:00,2,8,.250,0,0,,1,2,.500,5,7,12,1,0,0,3,3,5,1.9
14,14,1995-12-26,34-227,CHI,IND,L (-6),1,39:00,2,5,.400,0,0,,1,4,.250,5,6,11,3,0,0,0,4,5,6.9
15,15,1995-12-29,34-230,CHI,IND,W (+27),1,31:00,2,4,.500,0,0,,2,3,.667,4,12,16,1,0,0,0,2,6,9.9
16,16,1995-12-30,34-231,CHI,ATL,W (+2),1,33:00,4,12,.333,0,0,,1,2,.500,10,11,21,0,2,0,3,1,9,10.7
17,17,1996-01-03,34-235,CHI,HOU,W (+14),1,33:00,1,4,.250,0,2,.000,0,0,,5,10,15,3,1,2,3,2,2,6.8
18,18,1996-01-04,34-236,CHI,CHH,W (+24),1,31:00,6,7,.857,0,0,,0,0,,6,5,11,2,1,0,1,3,12,15.4
19,19,1996-01-06,34-238,CHI,MIL,W (+29),1,28:00,2,4,.500,0,0,,1,2,.500,6,10,16,1,0,0,3,4,5,5.9
20,20,1996-01-10,34-242,CHI,SEA,W (+26),1,30:00,4,5,.800,0,0,,0,0,,3,4,7,1,0,0,2,4,8,6.5
21,21,1996-01-13,34-245,CHI,PHI,W (+27),1,31:00,2,5,.400,0,0,,0,0,,4,12,16,3,0,0,1,3,4,7.6
22,22,1996-01-15,34-247,CHI,WSB,W (+7),1,36:00,1,1,1.000,0,0,,0,0,,7,8,15,3,0,1,2,4,2,8.2
23,23,1996-01-16,34-248,CHI,PHI,W (+12),1,34:00,4,8,.500,1,2,.500,1,2,.500,9,12,21,10,0,2,1,2,10,22.1
24,24,1996-01-18,34-250,CHI,TOR,W (+3),1,38:00,4,6,.667,0,0,,0,2,.000,6,7,13,4,0,2,3,1,8,11.7
25,25,1996-01-21,34-253,CHI,DET,W (+15),1,34:00,0,1,.000,0,0,,2,4,.500,5,4,9,3,0,0,4,3,2,2.1
26,26,1996-01-23,34-255,CHI,NYK,W (+20),1,29:00,2,3,.667,0,0,,1,2,.500,4,9,13,2,2,0,4,2,5,7.4
27,27,1996-01-24,34-256,CHI,VAN,W (+20),1,33:00,1,9,.111,0,2,.000,2,2,1.000,6,10,16,3,0,0,3,3,4,3.2
28,28,1996-01-26,34-258,CHI,MIA,W (+22),1,31:00,2,2,1.000,1,1,1.000,2,4,.500,5,11,16,5,0,0,2,4,7,12.3
29,29,1996-01-28,34-260,CHI,PHO,W (+11),1,44:00,1,7,.143,0,1,.000,2,2,1.000,9,11,20,5,1,1,4,5,4,8.3
30,30,1996-01-30,34-262,CHI,HOU,W (+11),1,31:00,1,1,1.000,0,0,,1,2,.500,3,7,10,3,1,0,2,4,3,6.0
31,31,1996-02-01,34-264,CHI,SAC,W (+20),1,38:00,3,9,.333,0,0,,0,0,,9,12,21,3,0,0,3,2,6,9.1
32,32,1996-02-02,34-265,CHI,LAL,W (+15),1,39:00,5,7,.714,0,1,.000,0,0,,6,17,23,3,1,2,0,4,10,19.3
33,33,1996-02-04,34-267,CHI,DEN,L (-6),1,36:00,3,5,.600,0,0,,0,0,,3,9,12,1,3,0,0,3,6,11.0
34,34,1996-02-06,34-269,CHI,PHO,L (-10),1,42:00,2,4,.500,0,0,,2,2,1.000,4,10,14,2,0,2,2,5,6,8.6
35,35,1996-02-07,34-270,CHI,GSW,W (+4),1,40:00,3,4,.750,0,0,,1,2,.500,9,9,18,4,1,0,2,4,7,14.2
36,36,1996-02-13,34-276,CHI,WSB,W (+13),1,35:00,2,2,1.000,1,1,1.000,2,2,1.000,3,13,16,3,3,0,2,3,7,14.3
37,37,1996-02-15,34-278,CHI,DET,W (+3),1,44:00,4,8,.500,0,0,,1,4,.250,14,5,19,1,1,0,3,6,9,11.4
38,38,1996-02-16,34-279,CHI,MIN,W (+3),1,42:00,2,3,.667,0,0,,0,0,,6,13,19,5,2,0,4,5,4,10.3
39,39,1996-02-18,34-281,CHI,IND,W (+8),1,43:00,2,3,.667,0,0,,1,2,.500,7,16,23,1,1,0,3,3,5,10.5
40,40,1996-02-20,34-283,CHI,CLE,W (+26),1,34:00,3,7,.429,0,1,.000,3,4,.750,7,8,15,1,0,0,2,1,9,10.5
41,41,1996-02-22,34-285,CHI,ATL,W (+5),1,38:00,0,2,.000,0,0,,2,2,1.000,6,14,20,1,0,1,4,2,2,5.6
42,42,1996-02-23,34-286,CHI,MIA,L (-9),1,28:00,2,2,1.000,0,0,,0,0,,4,7,11,0,0,0,2,4,4,4.7
43,43,1996-02-25,34-288,CHI,ORL,W (+20),1,31:00,3,8,.375,0,1,.000,1,1,1.000,9,8,17,1,0,1,1,2,7,10.9
44,44,1996-02-27,34-290,CHI,MIN,W (+21),1,36:00,4,10,.400,0,0,,0,1,.000,10,14,24,2,1,0,3,4,8,11.2
45,45,1996-03-01,34-293,CHI,GSW,W (+23),1,30:00,3,3,1.000,0,0,,0,1,.000,5,12,17,2,1,0,3,3,6,10.0
46,46,1996-03-02,34-294,CHI,BOS,W (+32),1,29:00,3,6,.500,0,1,.000,0,0,,6,9,15,0,0,0,4,1,6,5.5
47,47,1996-03-05,34-297,CHI,MIL,W (+9),1,19:00,1,2,.500,0,1,.000,0,0,,0,9,9,3,0,0,2,2,2,3.0
48,48,1996-03-07,34-299,CHI,DET,W (+21),1,32:00,1,4,.250,0,2,.000,1,4,.250,7,6,13,1,0,1,1,4,3,4.9
49,49,1996-03-10,34-302,CHI,NYK,L (-32),1,30:00,1,3,.333,0,0,,0,0,,4,6,10,2,0,0,0,3,2,5.1
50,50,1996-03-13,34-305,CHI,WSB,W (+17),1,34:00,1,4,.250,0,1,.000,1,6,.167,6,8,14,4,0,0,2,5,3,4.0
51,51,1996-03-15,34-307,CHI,DEN,W (+21),1,38:00,4,9,.444,0,1,.000,0,0,,8,7,15,6,0,0,3,4,8,10.6
52,52,1996-03-16,34-308,CHI,NJN,W (+4),1,10:00,0,0,,0,0,,0,0,,0,4,4,3,0,0,2,1,0,0.9
53,53,1996-04-02,34-325,CHI,MIA,W (+18),0,24:00,4,5,.800,0,0,,0,0,,6,7,13,2,0,0,2,3,8,10.6
54,54,1996-04-04,34-327,CHI,MIA,W (+8),0,29:00,2,6,.333,0,0,,0,0,,6,6,12,1,1,0,2,3,4,5.1
55,55,1996-04-05,34-328,CHI,CHH,W (+34),0,29:00,2,5,.400,0,0,,1,2,.500,7,10,17,2,0,0,3,4,5,6.6
56,56,1996-04-07,34-330,CHI,ORL,W (+4),0,33:00,1,2,.500,0,0,,1,2,.500,5,8,13,0,1,2,2,3,3,6.7
57,57,1996-04-08,34-331,CHI,CHH,L (-1),0,30:00,1,5,.200,0,0,,0,4,.000,9,8,17,1,0,0,2,4,2,3.1
58,58,1996-04-11,34-334,CHI,NJN,W (+13),1,30:00,3,3,1.000,0,0,,0,1,.000,4,8,12,1,2,2,1,3,6,11.8
59,59,1996-04-12,34-335,CHI,PHI,W (+30),1,37:00,4,7,.571,0,2,.000,2,2,1.000,6,10,16,4,0,1,2,2,10,14.6
60,60,1996-04-14,34-337,CHI,CLE,W (+26),0,26:00,0,1,.000,0,0,,3,4,.750,2,4,6,2,0,0,2,3,3,2.7
61,61,1996-04-16,34-339,CHI,MIL,W (+6),0,41:00,3,6,.500,0,0,,1,4,.250,7,12,19,4,0,0,1,3,7,11.9
