Age,G,MP,FGA,3PA,2PA,ORB,DRB,AST,STL,BLK
22,79,1650,564,23,541,115,183,169,91,52
23,73,2413,867,77,790,138,307,256,139,61
24,82,3148,1150,112,1038,150,397,444,211,101
25,82,3014,1153,68,1085,163,432,511,193,93
26,82,3164,1359,80,1279,185,445,572,155,93
27,81,3123,1327,93,1234,203,418,507,173,73
28,72,2759,1278,197,1081,173,456,403,211,58
29,79,3014,1320,316,1004,175,464,409,232,89
30,77,2825,1216,401,815,152,344,452,133,57
31,82,3095,1366,424,942,160,371,467,154,45
32,44,1652,704,192,512,53,174,254,79,43
33,50,2011,604,212,392,63,260,293,98,37
34,82,2749,860,263,597,114,399,406,117,41
35,64,2133,596,186,410,70,263,294,94,35
36,62,1996,599,177,422,77,244,363,101,35
37,64,1911,597,133,464,57,221,285,105,25
38,23,412,140,48,92,20,48,50,21,9
