Age,G,MP,FGA,3PA,ORB,DRB,AST,STL,BLK
20,81,3071,1304,2,342,780,152,60,286
21,81,3224,1591,2,384,688,195,76,231
22,79,2923,1594,5,328,573,214,73,192
23,54,1946,1033,2,182,414,155,34,115
24,51,1941,991,4,195,445,159,46,147
25,60,2175,1147,0,208,473,142,39,144
26,49,1705,885,1,187,338,114,36,82
27,79,3163,1665,1,336,742,299,36,239
28,74,2924,1422,2,291,649,277,47,204
29,67,2422,1229,1,235,480,200,41,137
30,67,2535,1211,0,259,483,206,38,159
31,67,2464,948,0,246,523,196,34,166
32,73,2492,1095,0,253,507,200,36,171
33,59,1806,800,0,172,369,113,23,104
34,40,1135,479,0,97,200,79,8,55
35,61,1748,558,0,166,388,93,32,88
35,33,945,329,0,99,159,45,19,54
35,28,803,229,0,67,229,48,13,34
36,75,2252,841,1,187,446,126,49,108
37,53,1240,463,1,93,262,80,15,62
38,37,752,201,0,48,130,26,16,42
