Rk,G,Date,Opp,Win_Lose,Tm,Opp,FG,FGA,FG_per,3P,3PA,3P_per,FT,FTA,FT_per,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1997-10-31,BOS,L,85,92,33,79,.418,1,8,.125,18,29,.621,16,41,16,12,6,20,22
2,2,1997-11-01,PHI,W,94,74,40,81,.494,1,4,.250,13,22,.591,16,46,29,15,3,21,21
3,3,1997-11-03,SAS,W,87,83,33,108,.306,6,17,.353,15,24,.625,26,60,21,12,9,13,27
4,4,1997-11-05,ORL,W,94,81,38,79,.481,1,7,.143,17,25,.680,16,45,27,3,3,11,28
5,5,1997-11-07,ATL,L,78,80,32,80,.400,2,8,.250,12,16,.750,6,36,19,8,2,12,25
6,6,1997-11-08,NJN,W,99,86,38,77,.494,4,8,.500,19,28,.679,17,48,30,11,3,19,28
7,7,1997-11-11,CLE,L,80,101,31,84,.369,1,7,.143,17,22,.773,19,46,22,7,0,18,19
8,8,1997-11-12,WAS,L,83,90,34,85,.400,0,4,.000,15,22,.682,17,46,19,9,5,15,22
9,9,1997-11-14,CHH,W,105,92,41,87,.471,5,10,.500,18,20,.900,16,45,23,6,4,10,18
10,10,1997-11-15,CLE,W,79,70,33,83,.398,1,4,.250,12,17,.706,16,44,20,12,5,16,21
11,11,1997-11-20,PHO,L,85,89,38,83,.458,3,7,.429,6,10,.600,16,36,22,9,2,17,23
12,12,1997-11-21,LAC,W,111,102,44,96,.458,1,8,.125,22,34,.647,12,57,22,2,6,16,28
13,13,1997-11-23,SAC,W,103,88,37,82,.451,2,3,.667,27,37,.730,18,44,23,13,6,10,21
14,14,1997-11-25,SEA,L,90,91,39,84,.464,5,11,.455,7,13,.538,13,42,24,9,6,8,16
15,15,1997-11-28,IND,L,83,94,34,83,.410,0,6,.000,15,28,.536,11,39,17,7,4,6,22
16,16,1997-11-29,WAS,W,88,83,33,77,.429,5,8,.625,17,28,.607,13,52,15,5,1,18,22
17,17,1997-12-03,BOS,W,97,87,38,75,.507,1,6,.167,20,28,.714,14,50,25,10,5,24,20
18,18,1997-12-05,MIL,W,84,62,31,85,.365,0,9,.000,22,38,.579,23,56,26,11,2,7,21
