Date,Sep,Opp,Result,TeamScore,OpponentScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1999-05-04,,SAS,L,81,87,33,77,.429,6,13,.462,9,14,.643,11,39,26,8,5,15,20
1999-05-05,@,LAL,L,91,119,37,86,.430,6,17,.353,11,21,.524,11,38,24,6,7,14,31
1999-11-02,@,VAN,W,106,86,45,82,.549,3,12,.250,13,18,.722,9,39,29,8,4,10,28
1999-11-03,,LAC,W,121,98,45,74,.608,4,10,.400,27,33,.818,8,41,32,7,7,15,24
1999-11-05,,DEN,W,95,83,37,78,.474,4,11,.364,17,28,.607,14,43,24,10,4,19,21
1999-11-06,,LAL,W,97,82,38,69,.551,1,9,.111,20,21,.952,5,40,21,7,3,17,33
1999-11-09,@,UTA,L,87,92,30,73,.411,4,14,.286,23,31,.742,12,40,19,7,4,10,27
1999-11-12,@,DEN,W,93,78,37,89,.416,8,14,.571,11,13,.846,15,46,24,6,6,13,18
1999-11-13,,ATL,W,131,95,53,81,.654,4,15,.267,21,32,.656,9,47,33,5,7,17,27
1999-11-16,@,MIA,W,101,96,37,72,.514,5,14,.357,22,29,.759,9,42,18,6,5,13,20
1999-11-17,@,ORL,W,81,79,34,83,.410,2,14,.143,11,19,.579,11,43,24,14,9,18,18
1999-11-19,@,PHI,W,97,91,36,71,.507,4,8,.500,21,35,.600,5,42,30,7,9,14,23
1999-11-20,@,CHH,W,100,96,39,90,.433,3,13,.231,19,22,.864,8,41,33,5,7,13,33
1999-11-23,@,CLE,L,100,103,35,88,.398,5,21,.238,25,28,.893,17,51,23,6,10,16,27
1999-11-24,@,MIN,W,88,81,29,76,.382,6,10,.600,24,28,.857,12,54,22,3,4,12,19
1999-11-26,,HOU,W,91,88,35,88,.398,4,12,.333,17,26,.654,13,47,21,13,4,12,25
1999-11-27,@,LAC,W,88,71,37,87,.425,6,16,.375,8,9,.889,12,47,21,11,2,13,23
1999-11-29,,IND,L,91,93,33,83,.398,4,13,.308,21,24,.875,12,46,23,5,8,12,20
1999-12-01,,CHH,W,94,90,37,72,.514,6,14,.429,14,24,.583,9,41,27,7,6,21,25
1999-12-03,@,LAL,L,80,93,26,76,.342,7,15,.467,21,25,.840,7,42,17,4,5,12,31
1999-12-05,@,PHO,W,92,90,33,68,.485,0,5,.000,26,36,.722,9,41,24,9,6,20,18
1999-12-07,,MIA,L,76,86,31,80,.388,4,14,.286,10,14,.714,11,40,21,11,2,17,19
1999-12-09,,MIN,W,90,86,32,66,.485,1,11,.091,25,32,.781,10,37,21,5,5,19,23
1999-12-11,@,SAC,W,101,96,39,93,.419,6,14,.429,17,23,.739,16,58,28,10,5,13,22
1999-12-16,@,SEA,W,107,81,45,85,.529,10,19,.526,7,15,.467,11,45,31,11,10,13,12
1999-12-17,,PHO,L,102,110,41,84,.488,9,22,.409,11,17,.647,12,44,26,4,4,15,20
1999-12-20,@,DEN,L,88,97,34,85,.400,7,21,.333,13,17,.765,18,47,22,4,12,18,27
1999-12-21,@,HOU,W,89,79,40,90,.444,4,17,.235,5,6,.833,16,42,19,8,7,12,21
1999-12-23,,GSW,W,111,91,37,77,.481,6,19,.316,31,40,.775,10,40,27,5,6,10,18
1999-12-28,,SEA,W,94,89,39,78,.500,4,11,.364,12,21,.571,14,49,24,7,2,17,28
1999-12-30,,PHI,W,108,90,37,75,.493,9,18,.500,25,31,.806,10,46,25,11,6,20,27
2000-01-03,@,CHI,W,88,63,36,72,.500,2,11,.182,14,19,.737,5,39,30,20,9,23,22
2000-01-04,@,TOR,W,114,90,42,77,.545,8,11,.727,22,28,.786,7,44,24,6,4,17,20
2000-01-06,@,MIN,L,96,98,35,65,.538,3,8,.375,23,34,.676,9,29,17,14,0,18,26
2000-01-08,,PHO,W,96,91,34,71,.479,3,10,.300,25,37,.676,15,47,21,6,3,18,24
2000-01-10,,DAL,W,107,94,42,79,.532,7,19,.368,16,22,.727,15,47,32,5,3,13,18
2000-01-12,,CLE,W,95,75,42,79,.532,2,9,.222,9,12,.750,10,40,23,8,5,14,17
2000-01-14,@,PHO,W,105,83,35,74,.473,6,17,.353,29,36,.806,8,36,23,13,4,10,23
2000-01-15,@,DAL,L,105,113,34,78,.436,6,17,.353,31,40,.775,14,42,20,6,7,10,22
2000-01-18,@,HOU,L,89,90,37,86,.430,4,11,.364,11,16,.688,14,46,21,8,6,18,23
2000-01-19,@,SAS,W,105,95,42,75,.560,3,9,.333,18,27,.667,11,40,31,7,4,11,27
2000-01-22,@,LAL,W,95,91,40,87,.460,3,13,.231,12,17,.706,10,45,23,8,4,10,19
2000-01-24,,NJN,W,101,87,40,77,.519,5,8,.625,16,20,.800,10,44,30,7,5,19,15
2000-01-27,,UTA,W,85,75,36,77,.468,4,8,.500,9,14,.643,10,48,20,3,3,15,24
2000-01-29,,SAS,W,81,67,30,66,.455,3,7,.429,18,24,.750,9,45,20,10,1,18,24
2000-02-01,,CHI,W,92,81,37,78,.474,1,10,.100,17,20,.850,19,51,25,6,6,18,17
2000-02-03,@,NYK,L,88,98,35,83,.422,8,20,.400,10,13,.769,13,46,18,4,0,14,27
2000-02-04,@,ATL,W,97,90,37,83,.446,6,14,.429,17,24,.708,10,44,22,4,7,11,24
2000-02-06,@,BOS,W,100,94,33,75,.440,4,11,.364,30,39,.769,17,42,19,9,9,14,26
2000-02-07,@,MIL,W,115,111,40,75,.533,9,16,.563,26,34,.765,10,34,23,7,3,11,19
2000-02-09,,LAC,W,107,100,36,68,.529,3,10,.300,32,36,.889,13,39,26,4,5,16,13
2000-02-15,@,GSW,W,92,83,35,95,.368,7,17,.412,15,23,.652,20,58,23,9,5,14,18
2000-02-16,,GSW,W,99,95,33,71,.465,8,13,.615,25,29,.862,13,39,23,15,5,26,21
2000-02-18,,WAS,W,93,85,30,81,.370,5,20,.250,28,34,.824,20,51,16,5,6,16,29
2000-02-20,@,SAC,W,108,103,39,86,.453,8,13,.615,22,26,.846,13,47,22,15,5,19,28
2000-02-21,,BOS,W,105,92,36,73,.493,2,9,.222,31,40,.775,8,39,24,13,6,19,25
2000-02-24,,ORL,W,111,92,44,79,.557,7,14,.500,16,19,.842,9,40,27,12,5,15,21
2000-02-27,,UTA,W,101,92,33,68,.485,8,15,.533,27,33,.818,11,41,22,5,1,11,22
2000-02-29,,LAL,L,87,90,36,89,.404,4,17,.235,11,14,.786,17,44,18,13,0,11,22
2000-03-03,,VAN,W,101,91,39,77,.506,3,16,.188,20,26,.769,12,47,28,10,5,16,24
2000-03-06,,TOR,L,90,109,34,77,.442,3,14,.214,19,24,.792,14,45,22,6,2,17,23
2000-03-08,@,NJN,L,103,115,37,80,.463,6,14,.429,23,31,.742,13,45,26,7,7,13,29
2000-03-09,@,IND,L,119,127,41,85,.482,5,14,.357,32,40,.800,9,41,19,5,7,10,37
2000-03-11,@,DET,W,99,94,35,73,.479,7,18,.389,22,28,.786,11,41,19,7,2,12,26
2000-03-12,@,WAS,W,102,86,35,68,.515,10,17,.588,22,24,.917,9,48,18,4,6,18,19
