Name,Salary
Alonzo Mourning,15004800
Jamal Mashburn,5600000
P.J. Brown,5124800
Tim Hardaway,4800000
Dan Majerle,3600000
Voshon Lenard,3308516
Mark Strickland,2302400
Otis Thorpe,2000000
Clarence Weatherspoon,1925000
Keith Askins,1752400
Duane Causwell,1696387
Rex Walters,1100000
Tim James,728520
Willie Anderson,510000
Blue Edwards,510000
Ed Pinckney,510000
Amal McCaskill,485000
Anthony Carter,385000
Rodney Buford,301875
Harold Jamison,301875
Jamie Watson,250000
Corey Brewer,100000
Mark Davis,100000
Jermaine Walker,100000
