Date,Sep,Opp,WL,TmScore,OppScore
2005-11-02,@,MIN,L,86,90
2005-11-04,@,DEN,L,68,107
2005-11-05,,ATL,W,94,93
2005-11-09,,NYK,W,95,83
2005-11-11,,DET,L,81,84
2005-11-16,,CHI,W,96,93
2005-11-18,,GSW,L,80,91
2005-11-20,@,NYK,L,92,103
2005-11-22,@,MEM,W,95,87
2005-11-23,@,MIA,L,79,100
2005-11-25,@,ORL,L,89,104
2005-11-27,@,ATL,W,77,75
2005-11-29,@,PHI,L,83,107
2005-11-30,@,WAS,L,89,96
2005-12-02,,IND,L,78,98
2005-12-04,,UTA,L,93,98
2005-12-06,@,PHO,L,85,130
2005-12-07,,MIN,L,74,84
2005-12-09,,NOK,W,98,95
2005-12-11,,HOU,L,86,100
2005-12-14,@,UTA,L,77,82
2005-12-16,,SEA,L,99,111
2005-12-18,,WAS,W,97,92
2005-12-20,@,DET,L,89,93
2005-12-21,@,MEM,L,79,89
2005-12-23,@,MIN,W,91,83
2005-12-26,@,SAC,W,105,92
2005-12-28,,PHI,W,95,91
2005-12-30,,MEM,L,90,93
2006-01-01,,LAC,L,94,100
2006-01-03,@,DAL,L,81,95
2006-01-04,@,SAS,L,75,106
2006-01-06,@,NOK,L,80,90
2006-01-08,,MIA,L,89,118
2006-01-11,,LAL,W,113,103
2006-01-13,,ORL,W,113,108
2006-01-15,,CLE,W,89,87
2006-01-18,,TOR,W,96,94
2006-01-22,,DAL,L,89,95
2006-01-25,,DEN,L,94,97
2006-01-27,,NJN,W,88,83
2006-01-28,@,GSW,L,83,98
2006-01-30,@,SEA,W,116,111
2006-02-01,,SAS,L,82,86
2006-02-03,,MIN,W,89,85
2006-02-04,@,DEN,L,104,105
2006-02-08,@,IND,L,69,101
2006-02-10,@,BOS,L,83,115
2006-02-12,@,TOR,L,81,114
2006-02-13,@,CHA,W,91,83
2006-02-15,@,NOK,L,86,102
2006-02-21,@,LAL,L,82,99
2006-02-22,,CHA,L,106,110
2006-02-24,,BOS,L,96,102
2006-02-26,,NOK,L,75,88
2006-02-27,@,SAC,L,91,115
2006-03-01,,LAL,W,99,93
2006-03-04,@,SAS,L,81,101
2006-03-05,@,HOU,L,84,102
2006-03-07,@,DAL,L,87,93
2006-03-09,,DAL,L,92,109
2006-03-12,,PHO,W,111,101
2006-03-14,@,CHI,L,66,95
2006-03-15,@,NJN,L,65,78
2006-03-17,@,CLE,L,84,99
2006-03-18,@,MIL,L,93,97
2006-03-20,,MIL,L,93,100
2006-03-23,@,PHO,L,108,125
2006-03-24,,SAS,L,79,98
2006-03-26,,LAC,L,83,97
2006-03-29,,SAC,L,90,106
2006-04-01,,UTA,L,89,102
2006-04-02,@,SEA,L,83,122
2006-04-05,,HOU,W,76,75
2006-04-07,,SEA,L,108,121
2006-04-08,@,UTA,L,93,110
2006-04-10,,DEN,L,98,110
2006-04-12,@,LAC,L,93,97
2006-04-14,@,LAL,L,99,110
2006-04-15,,GSW,L,81,86
2006-04-17,@,GSW,L,79,93
2006-04-19,,PHO,L,96,106
