Rk,G,Date,Age,Tm,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1994-12-12,33-213,SAS,WSB,W (+21),0,27:00,3,5,.600,0,1,.000,0,0,,1,4,5,3,1,2,5,2,6,4.3
2,2,1994-12-14,33-215,SAS,BOS,W (+12),0,25:00,3,4,.750,0,0,,0,0,,4,7,11,3,1,1,2,2,6,10.3
3,3,1994-12-17,33-218,SAS,LAL,W (+14),0,37:00,7,11,.636,0,0,,0,0,,9,10,19,6,0,1,5,4,14,16.7
4,4,1994-12-21,33-222,SAS,DEN,W (+14),0,30:00,4,5,.800,0,0,,0,0,,3,11,14,2,0,0,2,5,8,8.9
5,5,1994-12-23,33-224,SAS,HOU,W (+2),0,15:00,0,1,.000,0,0,,0,0,,1,5,6,0,0,1,0,1,0,1.8
6,6,1994-12-27,33-228,SAS,CHH,W (+11),0,33:00,4,7,.571,0,0,,1,4,.250,7,13,20,3,0,0,3,5,9,10.4
7,7,1994-12-29,33-230,SAS,ATL,L (-6),0,17:00,0,1,.000,0,0,,0,0,,0,7,7,1,1,0,2,2,0,0.3
8,8,1994-12-30,33-231,SAS,WSB,W (+14),0,32:00,0,0,,0,0,,1,2,.500,1,9,10,1,1,1,1,4,1,3.8
9,9,1995-01-03,33-235,SAS,GSW,W (+5),0,32:00,2,4,.500,0,0,,0,0,,4,15,19,0,2,0,1,1,4,9.9
10,10,1995-01-05,33-237,SAS,UTA,W (+1),0,33:00,1,2,.500,0,0,,2,2,1.000,4,14,18,1,0,0,2,5,4,6.7
11,11,1995-01-07,33-239,SAS,LAC,W (+15),0,33:00,1,4,.250,0,0,,1,2,.500,5,17,22,1,1,0,3,3,3,6.3
12,12,1995-01-10,33-242,SAS,LAC,W (+11),0,32:00,4,6,.667,0,0,,2,3,.667,5,16,21,2,0,0,2,5,10,12.7
13,13,1995-01-12,33-244,SAS,MIA,W (+5),0,34:00,4,7,.571,0,0,,3,4,.750,7,15,22,5,2,0,1,4,11,19.6
14,14,1995-01-13,33-245,SAS,HOU,L (-3),0,16:00,1,2,.500,0,1,.000,1,2,.500,2,3,5,1,2,0,1,2,3,4.8
15,15,1995-01-15,33-247,SAS,DAL,L (-5),0,28:00,2,2,1.000,0,0,,1,4,.250,5,3,8,0,0,0,1,5,5,4.6
16,16,1995-01-17,33-249,SAS,BOS,W (+9),0,34:00,3,3,1.000,0,0,,1,2,.500,3,15,18,2,0,0,1,4,7,11.1
17,17,1995-01-18,33-250,SAS,CHH,L (-1),0,33:00,1,2,.500,0,0,,1,2,.500,3,7,10,2,0,0,0,3,3,6.0
18,18,1995-01-22,33-254,SAS,IND,L (-5),0,35:00,5,9,.556,0,0,,1,2,.500,14,11,25,2,1,1,0,3,11,21.3
19,19,1995-01-24,33-256,SAS,CHI,W (+2),1,44:00,6,13,.462,0,0,,0,0,,14,9,23,3,1,3,3,5,12,18.0
20,20,1995-01-26,33-258,SAS,HOU,W (+3),1,40:00,5,6,.833,0,0,,1,2,.500,9,13,22,0,0,1,3,2,11,15.5
21,21,1995-01-28,33-260,SAS,DEN,W (+26),1,42:00,3,7,.429,0,0,,3,4,.750,6,11,17,1,1,0,5,2,9,8.3
22,22,1995-01-31,33-263,SAS,SAC,W (+1),1,37:00,3,4,.750,0,0,,0,2,.000,8,11,19,0,0,0,1,2,6,10.7
23,23,1995-02-01,33-264,SAS,POR,W (+4),1,38:00,4,6,.667,0,0,,2,2,1.000,5,14,19,3,0,0,1,4,10,14.6
24,24,1995-02-03,33-266,SAS,DAL,W (+11),1,28:00,1,4,.250,0,0,,0,0,,8,12,20,3,0,1,1,0,2,10.6
25,25,1995-02-04,33-267,SAS,SAC,W (+1),1,36:00,2,6,.333,0,0,,2,4,.500,7,15,22,2,1,2,3,3,6,10.8
26,26,1995-02-07,33-270,SAS,SEA,W (+3),1,39:00,3,8,.375,0,0,,7,8,.875,11,16,27,3,0,0,4,3,13,17.6
27,27,1995-02-08,33-271,SAS,LAL,L (-16),1,30:00,6,10,.600,0,0,,0,0,,7,3,10,0,0,0,1,5,12,10.2
28,28,1995-02-14,33-277,SAS,UTA,W (+16),1,31:00,3,3,1.000,0,0,,0,0,,2,7,9,1,0,1,4,4,6,4.4
29,29,1995-02-16,33-279,SAS,UTA,L (-7),1,33:00,3,5,.600,0,0,,7,10,.700,8,12,20,2,0,0,2,4,13,16.5
30,30,1995-02-18,33-281,SAS,ATL,W (+14),1,30:00,2,6,.333,0,0,,2,2,1.000,5,13,18,1,1,0,1,2,6,9.9
31,31,1995-02-21,33-284,SAS,HOU,W (+1),1,40:00,2,5,.400,0,0,,2,2,1.000,11,19,30,0,0,0,2,3,6,13.5
32,32,1995-02-22,33-285,SAS,PHO,W (+5),1,44:00,3,4,.750,0,0,,1,2,.500,5,19,24,3,0,2,1,5,7,14.7
33,33,1995-02-24,33-287,SAS,DET,W (+17),1,36:00,2,3,.667,0,0,,2,2,1.000,5,16,21,2,2,0,4,2,6,11.6
34,34,1995-02-26,33-289,SAS,GSW,W (+30),1,26:00,5,6,.833,0,0,,3,3,1.000,6,16,22,6,0,0,4,2,13,19.2
35,35,1995-02-28,33-291,SAS,CLE,W (+17),1,29:00,1,4,.250,0,0,,2,4,.500,6,15,21,2,1,0,3,3,4,7.7
36,36,1995-03-03,33-294,SAS,ORL,W (+1),1,38:00,4,8,.500,0,0,,1,3,.333,8,12,20,3,2,0,1,3,9,15.3
