Rk,G,Date,Age,Tm,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1993-11-05,32-176,SAS,GSW,W (+6),0,35:00,2,2,1.000,0,0,,1,4,.250,5,16,21,2,0,1,1,5,5,10.6
2,2,1993-11-07,32-178,SAS,NJN,L (-26),0,26:00,1,2,.500,0,1,.000,1,2,.500,3,5,8,0,0,0,1,5,3,2.2
3,3,1993-11-09,32-180,SAS,MIN,W (+15),1,47:00,5,5,1.000,0,0,,3,3,1.000,11,18,29,4,0,1,2,5,13,24.1
4,4,1993-11-10,32-181,SAS,PHO,L (-8),1,48:00,0,1,.000,0,0,,0,0,,7,18,25,2,0,1,2,3,0,8.5
5,5,1993-11-12,32-183,SAS,SAC,L (-2),1,43:00,0,1,.000,0,0,,0,2,.000,11,13,24,3,1,0,1,3,0,11.0
6,6,1993-11-13,32-184,SAS,LAC,L (-2),1,35:00,3,6,.500,0,0,,0,0,,5,8,13,1,0,2,1,3,6,8.8
7,7,1993-11-16,32-187,SAS,DEN,W (+12),1,44:00,1,1,1.000,0,0,,2,4,.500,5,18,23,2,2,0,4,2,4,10.4
8,8,1993-11-17,32-188,SAS,NYK,W (+5),1,48:00,5,12,.417,0,0,,3,5,.600,12,8,20,0,1,1,3,3,13,14.1
9,9,1993-11-19,32-190,SAS,DET,L (-9),1,46:00,3,4,.750,0,0,,2,4,.500,6,8,14,2,1,1,3,3,8,11.1
10,10,1993-11-20,32-191,SAS,MIL,W (+4),1,40:00,1,1,1.000,0,0,,2,5,.400,4,12,16,2,1,0,3,3,4,7.1
11,11,1993-11-22,32-193,SAS,LAC,W (+12),1,45:00,2,5,.400,0,0,,0,0,,8,14,22,3,2,0,1,3,4,13.0
12,12,1993-11-24,32-195,SAS,CHI,W (+25),1,33:00,4,5,.800,0,0,,1,3,.333,3,18,21,0,0,0,2,1,9,11.4
13,13,1993-11-27,32-198,SAS,DAL,W (+24),1,33:00,0,1,.000,0,0,,1,4,.250,5,15,20,1,0,0,2,2,1,5.0
14,14,1993-11-29,32-200,SAS,MIL,W (+7),1,38:00,1,2,.500,0,0,,0,0,,4,15,19,5,1,0,0,4,2,11.2
15,15,1993-12-01,32-202,SAS,CHH,W (+4),1,45:00,0,5,.000,0,1,.000,0,0,,10,18,28,3,0,0,4,4,0,5.4
16,16,1993-12-03,32-204,SAS,ORL,W (+10),1,39:00,2,6,.333,0,0,,0,0,,8,15,23,4,1,1,0,4,4,13.6
17,17,1993-12-04,32-205,SAS,PHI,W (+8),1,35:00,1,2,.500,0,0,,0,0,,3,11,14,5,1,0,3,3,2,6.7
18,18,1993-12-08,32-209,SAS,SEA,L (-2),1,45:00,4,6,.667,0,0,,0,2,.000,4,9,13,4,0,0,3,4,8,8.3
19,19,1993-12-09,32-210,SAS,ATL,L (-10),1,35:00,3,5,.600,0,1,.000,0,0,,7,7,14,0,1,0,0,4,6,10.1
20,20,1993-12-11,32-212,SAS,DEN,W (+5),1,36:00,0,2,.000,0,0,,0,0,,5,4,9,3,0,0,1,1,0,4.0
21,21,1993-12-13,32-214,SAS,UTA,L (-15),1,43:00,0,4,.000,0,0,,0,0,,7,13,20,0,0,0,1,4,0,3.4
22,22,1993-12-15,32-216,SAS,POR,W (+20),1,37:00,1,2,.500,0,0,,0,0,,3,9,12,1,1,0,1,3,2,5.3
23,23,1993-12-16,32-217,SAS,DAL,W (+14),1,39:00,3,5,.600,0,0,,0,0,,7,11,18,1,0,0,2,3,6,9.4
24,24,1993-12-18,32-219,SAS,CHI,L (-12),1,24:00,1,3,.333,0,0,,1,2,.500,5,4,9,0,1,0,0,1,3,6.2
25,25,1993-12-23,32-224,SAS,UTA,L (-8),1,34:00,0,2,.000,0,0,,1,2,.500,3,10,13,2,0,0,1,5,1,2.7
26,26,1993-12-26,32-227,SAS,BOS,W (+14),0,35:00,0,1,.000,0,1,.000,0,0,,3,13,16,1,0,1,1,3,0,4.5
27,27,1993-12-28,32-229,SAS,MIA,W (+8),0,38:00,2,5,.400,0,0,,0,0,,5,10,15,1,1,0,3,5,4,4.5
28,28,1993-12-30,32-231,SAS,IND,W (+25),0,34:00,3,5,.600,0,0,,0,0,,9,10,19,6,0,0,1,4,6,14.6
29,29,1994-01-02,32-234,SAS,LAL,W (+2),0,26:00,0,0,,0,0,,0,0,,3,9,12,1,0,0,2,2,0,2.7
30,30,1994-01-04,32-236,SAS,PHI,W (+23),0,30:00,0,0,,0,0,,0,0,,4,14,18,4,0,0,2,3,0,6.6
31,31,1994-01-06,32-238,SAS,GSW,L (-4),0,39:00,1,5,.200,0,0,,0,0,,10,13,23,5,3,1,3,4,2,12.4
