Date,MP
1999-11-02,29:37
1999-11-03,32:44
1999-11-05,29:00
1999-11-06,27:42
1999-11-09,37:07
1999-11-12,34:27
1999-11-13,22:34
1999-11-16,31:52
1999-11-17,34:54
1999-11-19,34:36
1999-11-20,41:22
1999-11-23,40:35
1999-11-24,39:33
1999-11-26,39:44
1999-11-27,34:33
1999-11-29,41:27
1999-12-01,29:27
1999-12-03,39:34
1999-12-05,37:41
1999-12-07,35:02
1999-12-09,41:33
1999-12-11,40:13
1999-12-16,27:47
1999-12-17,31:07
1999-12-20,33:23
1999-12-21,35:35
1999-12-23,28:55
1999-12-28,32:25
1999-12-30,35:25
2000-01-03,28:25
2000-01-04,31:23
2000-01-06,38:39
2000-01-08,30:47
2000-01-10,34:32
2000-01-12,35:40
2000-01-14,29:01
2000-01-15,38:59
2000-01-18,33:52
2000-01-19,25:11
2000-01-22,39:28
2000-01-24,33:32
2000-01-27,28:39
2000-01-29,31:25
2000-02-01,32:33
2000-02-03,35:25
2000-02-04,30:14
2000-02-06,32:52
2000-02-07,25:39
2000-02-09,27:06
2000-02-15,22:58
2000-02-16,27:49
2000-02-18,36:09
2000-02-20,36:28
2000-02-21,28:17
2000-02-24,25:42
2000-02-27,31:20
2000-02-29,35:15
2000-03-03,36:27
2000-03-06,36:32
2000-03-08,24:03
2000-03-09,17:22
2000-03-11,35:28
2000-03-12,25:57
2000-03-14,33:30
2000-03-16,38:50
2000-03-18,29:20
2000-03-22,37:49
2000-03-24,33:16
2000-03-26,32:14
2000-03-28,36:30
2000-03-30,34:54
2000-04-01,28:55
2000-04-02,34:38
2000-04-05,34:54
2000-04-06,32:10
2000-04-08,35:48
2000-04-10,32:54
2000-04-11,29:28
2000-04-13,36:10
2000-04-16,28:59
2000-04-18,30:19
2000-04-19,24:37
