Rk,G,Date,Opp,WinLose,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS_per,TRB_per,AST_per,STL_per,BLK_per,eFG_per,TOV_per,ORB_per,FT_div_FGA,eFG_per,TOV_per,DRB_per,FT_div_FGA
1,1,1997-10-31,BOS,L,85,92,91.2,98.7,93.2,.367,.101,.463,44.1,48.5,12.9,8.3,.424,17.9,34.8,.228,.450,19.2,53.2,.122
2,2,1997-11-01,PHI,W,94,74,100.2,78.9,93.8,.272,.049,.518,51.1,72.5,16.0,4.1,.500,18.8,36.4,.160,.378,22.4,65.2,.192
3,3,1997-11-03,SAS,W,87,83,85.4,81.5,84.3,.222,.157,.367,51.7,63.6,11.8,11.5,.333,9.9,37.1,.139,.400,19.5,73.9,.176
4,4,1997-11-05,ORL,W,94,81,111.2,95.8,84.5,.316,.089,.522,54.2,71.1,3.5,4.8,.487,10.9,38.1,.215,.349,10.7,70.7,.411
5,5,1997-11-07,ATL,L,78,80,89.2,91.5,87.4,.200,.100,.448,43.4,59.4,9.1,2.9,.413,12.1,15.4,.150,.386,13.7,68.2,.241
6,6,1997-11-08,NJN,W,99,86,112.0,97.3,88.4,.364,.104,.554,64.0,78.9,12.4,4.3,.519,17.5,48.6,.247,.410,14.8,77.5,.375
7,7,1997-11-11,CLE,L,80,101,89.6,113.1,89.3,.262,.083,.427,54.8,71.0,7.8,0.0,.375,16.1,38.8,.202,.574,15.2,77.1,.216
8,8,1997-11-12,WAS,L,83,90,94.5,102.5,87.8,.259,.047,.438,52.3,55.9,10.2,7.2,.400,13.7,37.0,.176,.462,13.7,69.0,.231
9,9,1997-11-14,CHH,W,105,92,117.7,103.2,89.2,.230,.115,.548,52.3,56.1,6.7,5.1,.500,9.5,35.6,.207,.459,11.3,70.7,.151
10,10,1997-11-15,CLE,W,79,70,89.8,79.5,88.0,.205,.048,.437,47.3,60.6,13.6,7.2,.404,15.0,34.8,.145,.378,21.7,59.6,.141
11,11,1997-11-20,PHO,L,85,89,103.0,107.8,82.5,.120,.084,.486,53.7,57.9,10.9,3.3,.476,16.3,43.2,.072,.477,17.8,66.7,.415
12,12,1997-11-21,LAC,W,111,102,101.2,93.0,90.7,.354,.083,.500,57.6,50.0,1.8,7.6,.464,12.6,27.9,.229,.418,8.9,80.4,.216
13,13,1997-11-23,SAC,W,103,88,116.1,99.2,88.7,.451,.037,.524,48.4,62.2,14.7,8.5,.463,9.2,39.1,.329,.440,16.9,57.8,.181
14,14,1997-11-25,SEA,L,90,91,109.5,110.7,82.2,.155,.131,.502,53.2,61.5,11.0,9.7,.494,8.2,33.3,.083,.539,12.6,72.5,.104
15,15,1997-11-28,IND,L,83,94,95.2,107.8,87.2,.337,.072,.435,42.9,50.0,8.0,5.1,.410,5.9,23.9,.181,.461,10.2,62.2,.122
16,16,1997-11-29,WAS,W,88,83,96.6,91.1,91.1,.364,.104,.493,54.7,45.5,5.5,1.4,.461,16.8,29.5,.221,.405,10.6,76.5,.179
17,17,1997-12-03,BOS,W,97,87,103.2,92.6,94.0,.373,.080,.555,53.2,65.8,10.6,6.8,.513,21.6,37.8,.267,.392,12.8,63.2,.151
18,18,1997-12-05,MIL,W,84,62,100.7,74.3,83.4,.447,.106,.413,57.1,83.9,13.2,3.3,.365,6.4,41.8,.259,.336,18.8,76.7,.254
19,19,1997-12-09,NYK,W,100,82,111.2,91.2,89.9,.459,.108,.562,49.4,51.5,6.7,7.5,.480,14.4,30.8,.392,.383,15.2,64.6,.247
20,20,1997-12-10,ORL,L,98,106,113.0,122.2,86.7,.338,.175,.533,47.6,75.0,6.9,4.4,.475,13.2,37.5,.275,.458,10.1,56.8,.361
21,21,1997-12-12,CHH,L,77,79,90.4,92.7,85.2,.352,.127,.470,54.9,67.9,4.7,7.0,.423,18.8,33.3,.239,.468,14.5,77.5,.091
22,22,1997-12-13,TOR,W,97,70,108.2,78.1,89.7,.386,.169,.500,56.5,71.1,13.4,10.5,.482,14.9,48.9,.205,.377,19.9,63.8,.111
23,23,1997-12-15,PHO,W,111,104,109.0,102.1,101.8,.557,.190,.564,54.6,69.4,10.8,9.5,.481,14.0,34.9,.443,.468,15.2,70.4,.183
24,24,1997-12-17,LAL,W,104,83,123.1,98.2,84.5,.293,.122,.562,60.0,75.6,9.5,11.8,.518,12.3,51.4,.232,.368,10.1,66.0,.218
25,25,1997-12-20,NJN,W,100,92,109.8,101.0,91.1,.235,.099,.560,53.4,53.7,9.9,5.4,.512,16.8,35.1,.210,.455,12.8,66.7,.136
26,26,1997-12-23,LAC,W,94,89,115.2,109.0,81.6,.305,.116,.436,58.8,54.3,3.7,13.8,.379,8.5,54.1,.232,.399,9.0,65.9,.405
27,27,1997-12-25,MIA,W,90,80,106.1,94.3,84.8,.408,.132,.502,60.9,66.7,9.4,7.0,.447,11.8,37.8,.289,.452,13.8,85.7,.192
28,28,1997-12-27,ATL,W,97,90,113.0,104.8,85.9,.353,.047,.494,59.3,56.8,5.8,7.4,.435,10.9,45.8,.271,.388,6.9,74.4,.350
29,29,1997-12-29,DAL,W,111,105,118.1,111.7,94.0,.512,.143,.539,60.2,66.7,4.3,4.1,.452,11.2,42.2,.417,.460,7.3,77.1,.287
30,30,1997-12-30,MIN,L,95,99,107.3,111.8,88.5,.241,.195,.494,50.6,72.2,9.0,6.3,.443,10.3,35.6,.207,.520,14.6,70.6,.297
31,31,1998-01-02,MIL,W,114,100,120.1,105.4,94.9,.447,.197,.627,64.5,67.5,7.4,5.6,.566,18.8,45.7,.368,.519,15.1,80.5,.198
32,32,1998-01-03,DET,W,105,96,115.4,105.5,91.0,.247,.210,.585,59.5,66.7,4.4,9.6,.562,14.3,34.3,.173,.477,8.7,79.5,.149
33,33,1998-01-06,BOS,W,90,79,107.2,94.1,84.0,.468,.182,.485,56.7,59.4,14.3,3.3,.429,14.7,47.9,.312,.431,17.1,66.7,.236
34,34,1998-01-07,MIA,L,72,99,94.5,129.9,76.2,.098,.122,.421,47.3,62.5,10.5,4.8,.409,11.4,38.6,.061,.586,12.0,60.0,.132
35,35,1998-01-09,NYK,W,90,89,98.4,97.3,91.5,.286,.117,.519,45.6,50.0,7.6,6.3,.487,11.3,8.8,.195,.447,14.1,82.4,.293
36,36,1998-01-10,GSW,W,87,82,104.4,98.4,83.3,.337,.145,.456,47.3,57.6,9.6,5.5,.416,8.6,34.7,.217,.463,14.7,61.4,.073
37,37,1998-01-13,SEA,W,101,91,114.0,102.7,88.6,.424,.141,.501,57.1,76.5,6.8,5.3,.406,9.0,37.2,.376,.444,10.1,78.0,.394
38,38,1998-01-15,PHI,L,96,106,108.0,119.3,88.9,.289,.120,.513,56.7,63.2,9.0,6.6,.476,16.1,47.6,.205,.487,11.2,64.6,.421
39,39,1998-01-16,MIL,W,96,86,111.2,99.6,86.3,.333,.194,.581,51.3,54.3,11.6,7.8,.521,15.4,27.0,.292,.481,15.1,74.4,.156
40,40,1998-01-18,HOU,W,106,100,127.6,120.4,83.1,.250,.145,.628,44.4,82.9,13.2,5.9,.592,10.6,23.3,.211,.587,17.0,63.6,.413
41,41,1998-01-21,CHH,W,110,79,121.4,87.2,90.6,.178,.200,.567,51.1,66.7,9.9,2.6,.533,9.3,32.4,.156,.394,17.1,64.7,.141
42,42,1998-01-23,NJN,W,100,98,103.7,101.6,87.3,.337,.108,.525,38.6,60.5,11.4,8.3,.464,12.8,22.0,.277,.443,18.1,53.2,.227
43,43,1998-01-25,UTA,L,94,101,106.8,114.7,88.1,.133,.214,.453,50.0,70.0,10.2,4.8,.429,7.2,36.5,.102,.514,15.0,70.6,.414
44,44,1998-01-27,VAN,W,103,85,110.6,91.3,93.1,.204,.075,.508,56.3,65.9,11.8,5.6,.484,9.0,34.8,.140,.443,15.4,80.5,.190
45,45,1998-01-29,POR,W,100,87,111.5,97.0,89.7,.274,.095,.531,55.3,68.4,10.0,6.0,.470,12.9,35.6,.250,.481,14.9,77.5,.169
46,46,1998-01-30,GSW,W,87,80,101.9,93.7,85.4,.378,.022,.414,52.0,46.7,16.4,6.7,.333,10.3,47.4,.300,.416,18.4,57.8,.133
47,47,1998-02-01,LAL,L,87,112,96.6,124.3,90.1,.291,.105,.448,51.1,69.7,5.6,3.4,.401,13.4,38.8,.209,.574,10.2,64.4,.235
48,48,1998-02-02,DEN,W,111,72,119.1,77.2,93.2,.333,.083,.576,62.5,57.1,7.5,11.1,.530,12.7,36.6,.262,.367,15.6,85.1,.177
49,49,1998-02-04,UTA,L,93,101,106.6,115.7,87.3,.207,.159,.520,52.1,48.6,12.6,5.1,.476,12.7,28.9,.183,.570,13.6,78.8,.282
50,50,1998-02-10,TOR,W,93,86,100.7,93.2,92.3,.245,.102,.428,53.8,61.5,13.0,3.1,.403,9.2,45.8,.143,.431,19.3,64.4,.213
51,51,1998-02-11,CHH,W,92,90,106.5,104.2,86.4,.228,.063,.529,50.6,68.4,5.8,4.9,.487,12.1,27.0,.190,.444,14.0,72.5,.361
52,52,1998-02-13,ATL,W,112,110,126.1,123.8,88.8,.449,.090,.600,52.0,61.0,2.3,7.7,.538,9.7,34.3,.359,.530,10.4,67.5,.280
53,53,1998-02-15,DET,W,99,90,103.4,94.0,95.8,.272,.136,.546,57.9,73.7,9.4,5.0,.488,14.2,21.6,.247,.513,14.9,92.3,.173
54,54,1998-02-17,IND,W,105,97,127.3,117.6,82.5,.157,.133,.592,61.8,61.4,8.5,7.4,.566,12.8,48.5,.133,.568,12.6,74.3,.192
55,55,1998-02-19,TOR,W,123,86,126.2,88.2,97.5,.301,.215,.584,63.2,82.2,7.2,2.8,.538,15.3,46.8,.247,.377,12.0,79.2,.309
56,56,1998-02-21,WAS,W,94,88,102.5,95.9,91.7,.202,.135,.485,47.9,52.6,13.1,18.1,.455,11.0,31.9,.146,.414,16.6,63.8,.184
57,57,1998-02-23,CLE,W,97,75,106.7,82.5,90.9,.291,.190,.544,56.1,81.6,11.0,7.1,.506,15.2,31.6,.215,.347,17.2,77.3,.347
58,58,1998-02-25,POR,L,101,106,115.3,121.1,87.6,.330,.227,.501,46.8,61.1,16.0,13.7,.438,5.6,31.9,.273,.579,15.1,70.0,.357
59,59,1998-02-28,SAC,W,109,94,116.8,100.7,93.3,.218,.241,.572,53.7,58.1,9.6,7.9,.540,12.8,32.5,.172,.488,14.1,73.8,.116
60,60,1998-03-03,DEN,W,118,90,127.9,97.6,92.2,.273,.182,.599,58.8,66.7,8.7,6.7,.557,12.4,43.2,.227,.395,12.7,70.8,.256
61,61,1998-03-08,NYK,W,102,89,118.5,103.4,86.1,.202,.169,.526,59.3,53.7,7.0,3.3,.506,7.6,38.6,.135,.533,12.6,83.8,.105
62,62,1998-03-10,MIA,W,106,91,124.6,106.9,85.1,.173,.222,.608,52.1,68.2,8.2,8.3,.586,12.1,34.4,.136,.414,11.7,66.7,.368
63,63,1998-03-12,DAL,L,97,104,94.5,101.3,93.0,.248,.238,.417,52.5,55.3,9.7,4.6,.395,8.6,36.9,.133,.489,14.0,71.7,.128
64,64,1998-03-14,SAS,W,96,86,118.8,106.4,80.8,.205,.181,.531,55.3,52.6,9.9,5.9,.488,11.7,42.9,.181,.487,12.4,65.9,.143
65,65,1998-03-16,NJN,W,88,72,99.7,81.5,88.3,.276,.197,.516,58.0,76.5,5.7,4.2,.480,16.6,30.8,.197,.396,14.3,83.3,.143
66,66,1998-03-17,IND,W,90,84,114.2,106.6,78.8,.319,.153,.548,50.7,36.1,7.6,7.3,.528,11.8,30.6,.194,.473,11.0,70.3,.173
67,67,1998-03-20,VAN,W,98,92,117.4,110.2,83.5,.581,.194,.629,43.4,75.8,7.2,6.3,.556,13.4,18.5,.468,.439,11.1,57.1,.244
68,68,1998-03-22,TOR,W,102,100,110.4,108.2,92.4,.200,.178,.521,48.4,68.3,13.0,9.4,.472,11.7,36.6,.189,.432,12.5,58.0,.177
69,69,1998-03-23,BOS,W,111,88,125.1,99.2,88.7,.388,.125,.593,63.0,67.4,12.4,5.2,.563,13.8,47.5,.263,.542,18.7,81.8,.155
70,70,1998-03-25,ORL,W,85,70,104.1,85.7,81.6,.117,.208,.525,47.0,75.7,12.2,3.3,.519,13.8,26.3,.065,.368,15.9,64.4,.184
71,71,1998-03-27,ATL,W,89,74,106.9,88.9,83.3,.333,.147,.517,48.7,50.0,6.0,5.5,.487,11.3,25.6,.213,.465,15.4,78.8,.113
72,72,1998-03-29,MIL,W,104,87,110.7,92.6,93.9,.111,.122,.551,51.7,56.5,11.7,2.7,.533,16.0,35.0,.089,.435,17.1,66.0,.167
73,73,1998-03-31,DET,W,106,101,110.9,105.7,86.5,.293,.183,.573,56.0,79.5,9.4,11.9,.506,14.7,30.8,.280,.519,15.2,83.3,.241
74,74,1998-04-03,MIN,W,107,93,130.9,113.7,81.8,.261,.250,.522,57.3,58.5,8.6,4.6,.478,5.5,50.0,.207,.519,12.1,66.7,.139
75,75,1998-04-05,HOU,W,109,94,115.4,99.5,94.4,.198,.143,.551,46.7,75.0,14.8,14.8,.516,7.5,23.8,.165,.506,18.8,75.8,.177
76,76,1998-04-07,WAS,W,103,85,109.2,90.1,94.3,.338,.176,.606,61.3,57.5,6.4,6.6,.581,19.0,27.8,.230,.458,12.9,88.6,.108
77,77,1998-04-09,CLE,L,85,91,99.2,106.2,85.7,.266,.127,.482,51.3,72.7,11.7,1.8,.437,14.5,31.0,.203,.536,16.0,76.5,.246
78,78,1998-04-11,ORL,W,87,78,102.0,91.4,85.3,.200,.275,.500,43.8,64.9,14.1,6.6,.506,9.4,22.0,.075,.410,18.8,66.7,.343
79,79,1998-04-13,IND,L,105,114,120.7,131.1,87.0,.547,.173,.564,49.3,54.5,8.0,6.7,.480,7.0,28.6,.440,.561,9.9,71.9,.419
80,80,1998-04-15,DET,L,79,87,93.9,103.4,84.1,.179,.190,.436,46.7,64.7,10.7,4.6,.429,9.9,32.0,.083,.475,13.5,64.3,.123
81,81,1998-04-17,PHI,W,87,80,100.1,92.0,86.9,.273,.234,.504,53.9,56.3,15.0,7.0,.455,18.8,37.5,.221,.431,20.2,72.2,.369
82,82,1998-04-18,NYK,W,111,109,118.3,116.2,93.8,.636,.143,.563,47.9,76.5,5.3,5.3,.455,7.5,22.9,.532,.545,10.3,71.1,.148
1,1,1998-04-24,NJN,W,96,93,101.9,98.7,85.4,.534,.123,.532,42.4,73.5,8.5,6.3,.493,14.3,17.4,.329,.419,10.8,67.4,.244
2,2,1998-04-26,NJN,W,96,91,107.9,102.2,89.0,.481,.173,.489,50.6,63.6,11.2,7.8,.432,11.7,38.3,.321,.447,14.0,64.3,.176
3,3,1998-04-29,NJN,W,116,101,146.5,127.6,79.2,.207,.195,.648,62.5,56.5,10.1,3.5,.616,11.8,57.6,.183,.623,13.4,69.6,.308
4,4,1998-05-03,CHH,W,83,70,103.6,87.4,80.1,.386,.271,.507,51.3,69.0,12.5,4.1,.450,12.8,28.9,.286,.396,17.2,73.7,.254
5,5,1998-05-06,CHH,L,76,78,92.9,95.4,81.8,.141,.165,.421,51.1,54.8,8.6,7.6,.388,10.9,30.6,.118,.420,10.8,75.6,.200
6,6,1998-05-08,CHH,W,103,89,119.2,103.0,86.4,.515,.118,.618,53.3,71.4,8.1,2.9,.544,15.2,32.3,.426,.452,11.5,68.2,.155
7,7,1998-05-10,CHH,W,94,80,113.9,96.9,82.5,.231,.128,.547,51.3,72.5,8.5,7.8,.532,9.5,27.8,.141,.473,14.8,72.5,.120
8,8,1998-05-13,CHH,W,93,84,113.9,102.8,81.7,.289,.133,.497,60.3,55.6,12.2,11.9,.446,7.9,40.9,.229,.528,15.7,85.3,.127
9,9,1998-05-17,IND,W,85,79,91.1,84.6,93.3,.457,.074,.437,51.1,65.5,20.4,7.4,.358,11.8,28.8,.333,.477,24.5,81.6,.242
10,10,1998-05-19,IND,W,104,98,116.7,110.0,89.1,.494,.203,.541,45.2,57.1,16.8,8.8,.468,5.9,25.5,.380,.514,18.6,70.3,.391
11,11,1998-05-23,IND,L,105,107,128.2,130.6,81.9,.527,.216,.576,58.0,73.5,9.8,5.5,.514,13.3,51.4,.392,.590,13.7,65.6,.418
12,12,1998-05-25,IND,L,94,96,122.9,125.5,76.5,.286,.129,.596,55.6,51.3,3.9,12.7,.586,15.1,45.2,.171,.537,7.5,63.4,.111
13,13,1998-05-27,IND,W,106,87,119.6,98.2,88.6,.341,.110,.562,56.8,65.9,4.5,14.3,.518,10.4,32.4,.256,.381,13.0,77.3,.537
14,14,1998-05-29,IND,L,89,92,113.5,117.4,78.4,.368,.158,.504,60.3,29.0,6.4,5.8,.421,12.8,48.6,.329,.500,7.6,72.2,.314
15,15,1998-05-31,IND,W,88,83,110.7,104.4,79.5,.539,.197,.468,59.5,62.1,8.8,5.0,.421,8.7,42.3,.316,.536,14.2,87.5,.411
16,16,1998-06-03,UTA,L,85,88,92.2,95.5,83.5,.195,.195,.477,49.4,41.2,8.7,10.4,.433,13.6,21.4,.171,.447,12.4,78.0,.141
17,17,1998-06-05,UTA,W,93,88,115.9,109.7,80.2,.338,.200,.506,48.6,50.0,12.5,5.6,.444,7.1,38.3,.275,.545,20.1,66.7,.224
18,18,1998-06-07,UTA,W,96,54,104.5,58.8,91.8,.342,.145,.549,56.8,67.6,14.2,8.2,.513,16.3,27.5,.237,.307,25.5,81.3,.157
19,19,1998-06-10,UTA,W,86,82,107.7,102.7,79.9,.548,.205,.475,52.4,66.7,8.8,3.2,.404,9.0,38.6,.370,.436,10.3,67.5,.179
