Date,Sep,Opp,Result,TeamScore,OpponentScore
1999-02-07,@,SEA,L,88,91
1999-02-08,@,VAN,W,95,76
1999-02-10,,IND,W,100,92
1999-02-14,@,GSW,L,100,105
1999-02-15,,DAL,W,99,84
1999-02-17,,DEN,W,100,85
1999-02-19,,BOS,W,106,86
1999-02-20,,GSW,W,90,84
1999-02-24,@,NJN,W,94,85
1999-02-26,@,CHH,L,95,97
1999-02-27,@,WAS,W,82,81
1999-02-28,@,MIN,W,100,93
1999-03-02,,UTA,W,102,100
1999-03-03,@,SAC,W,97,93
1999-03-05,,MIN,W,97,85
1999-03-07,,HOU,W,111,71
1999-03-08,@,VAN,W,92,73
1999-03-09,,SAC,W,103,98
1999-03-12,,UTA,L,77,91
1999-03-13,@,LAC,W,106,96
1999-03-15,@,DAL,W,106,91
1999-03-16,@,HOU,L,93,101
1999-03-18,@,SAC,W,88,78
1999-03-19,,SAS,W,90,85
1999-03-21,,PHI,W,91,75
1999-03-23,,GSW,W,79,72
1999-03-25,,PHO,W,97,84
1999-03-28,@,PHO,W,88,86
1999-03-30,@,GSW,L,90,93
1999-03-31,,SAC,W,100,86
1999-04-02,,SEA,W,107,95
1999-04-03,,PHO,W,98,93
1999-04-06,,VAN,W,98,89
1999-04-08,@,SEA,L,86,87
1999-04-10,@,LAC,W,97,70
1999-04-11,,LAC,L,83,89
1999-04-13,,LAL,W,113,86
1999-04-15,@,HOU,L,76,86
1999-04-16,@,SAS,L,80,81
1999-04-17,@,DAL,W,102,94
1999-04-21,,LAL,W,88,82
1999-04-23,@,UTA,L,85,96
1999-04-25,,MIN,W,100,84
1999-04-26,,DEN,W,93,77
1999-04-28,,SEA,W,119,84
1999-04-29,@,LAL,L,89,108
1999-05-01,@,SAS,L,90,98
1999-05-02,@,DEN,W,110,102
1999-05-04,,SAS,L,81,87
1999-05-05,@,LAL,L,91,119
1999-11-02,@,VAN,W,106,86
1999-11-03,,LAC,W,121,98
1999-11-05,,DEN,W,95,83
1999-11-06,,LAL,W,97,82
1999-11-09,@,UTA,L,87,92
1999-11-12,@,DEN,W,93,78
1999-11-13,,ATL,W,131,95
1999-11-16,@,MIA,W,101,96
1999-11-17,@,ORL,W,81,79
1999-11-19,@,PHI,W,97,91
1999-11-20,@,CHH,W,100,96
1999-11-23,@,CLE,L,100,103
1999-11-24,@,MIN,W,88,81
1999-11-26,,HOU,W,91,88
1999-11-27,@,LAC,W,88,71
1999-11-29,,IND,L,91,93
1999-12-01,,CHH,W,94,90
1999-12-03,@,LAL,L,80,93
1999-12-05,@,PHO,W,92,90
1999-12-07,,MIA,L,76,86
1999-12-09,,MIN,W,90,86
1999-12-11,@,SAC,W,101,96
1999-12-16,@,SEA,W,107,81
1999-12-17,,PHO,L,102,110
1999-12-20,@,DEN,L,88,97
1999-12-21,@,HOU,W,89,79
1999-12-23,,GSW,W,111,91
1999-12-28,,SEA,W,94,89
1999-12-30,,PHI,W,108,90
2000-01-03,@,CHI,W,88,63
2000-01-04,@,TOR,W,114,90
2000-01-06,@,MIN,L,96,98
2000-01-08,,PHO,W,96,91
2000-01-10,,DAL,W,107,94
2000-01-12,,CLE,W,95,75
2000-01-14,@,PHO,W,105,83
2000-01-15,@,DAL,L,105,113
2000-01-18,@,HOU,L,89,90
2000-01-19,@,SAS,W,105,95
2000-01-22,@,LAL,W,95,91
2000-01-24,,NJN,W,101,87
2000-01-27,,UTA,W,85,75
2000-01-29,,SAS,W,81,67
2000-02-01,,CHI,W,92,81
2000-02-03,@,NYK,L,88,98
2000-02-04,@,ATL,W,97,90
2000-02-06,@,BOS,W,100,94
2000-02-07,@,MIL,W,115,111
2000-02-09,,LAC,W,107,100
2000-02-15,@,GSW,W,92,83
2000-02-16,,GSW,W,99,95
2000-02-18,,WAS,W,93,85
2000-02-20,@,SAC,W,108,103
2000-02-21,,BOS,W,105,92
2000-02-24,,ORL,W,111,92
2000-02-27,,UTA,W,101,92
2000-02-29,,LAL,L,87,90
2000-03-03,,VAN,W,101,91
2000-03-06,,TOR,L,90,109
2000-03-08,@,NJN,L,103,115
2000-03-09,@,IND,L,119,127
2000-03-11,@,DET,W,99,94
2000-03-12,@,WAS,W,102,86
2000-03-14,,SAC,W,96,91
2000-03-16,,MIN,L,92,96
2000-03-18,@,SEA,W,97,96
2000-03-22,,DET,L,95,104
2000-03-24,@,GSW,W,96,83
2000-03-26,,NYK,L,89,93
2000-03-28,,SAS,L,85,89
2000-03-30,,DAL,W,96,85
2000-04-01,,MIL,W,113,79
2000-04-02,,SEA,W,95,82
2000-04-05,,HOU,L,105,118
2000-04-06,@,VAN,L,87,89
2000-04-08,,VAN,W,98,85
2000-04-10,@,UTA,W,90,86
2000-04-11,@,DAL,L,81,92
2000-04-13,@,SAS,W,93,77
2000-04-16,,SAC,W,102,95
2000-04-18,@,LAC,W,116,100
2000-04-19,,DEN,L,95,96
