Name,Salary
Will Perdue,5300000
Hersey Hawkins,4164100
John Starks,4000000
Elton Brand,3375960
Dickey Simpkins,1500000
Randy Brown,1200000
Chris Anstey,1113720
Metta World Peace,1079760
Fred Hoiberg,800000
Keith Booth,776880
Corey Benjamin,696000
Matt Maloney,600000
B.J. Armstrong,510000
Bruce Bowen,510000
James Cotton,460000
Michael Ruffin,401875
Kornel David,175882
Dedric Willoughby,134956
Lari Ketner,92338
Rusty LaRue,40588
Khalid Reeves,30309
Chris Carr,30000
Maceo Baston,20000
Brett Robisch,20000
