Date,MP
1999-11-02,25:33
1999-11-03,30:04
1999-11-05,31:01
1999-11-06,31:05
1999-11-09,36:40
1999-11-12,28:16
1999-11-13,25:55
1999-11-16,24:00
1999-11-17,33:17
1999-11-19,33:56
1999-11-20,28:42
1999-11-23,31:30
1999-11-24,35:47
1999-11-26,32:33
1999-11-27,28:35
1999-11-29,32:29
1999-12-01,22:51
1999-12-03,36:53
1999-12-05,27:47
1999-12-09,33:49
1999-12-11,27:24
1999-12-16,29:40
1999-12-17,35:12
1999-12-20,30:29
1999-12-21,11:30
1999-12-23,29:13
1999-12-28,28:45
1999-12-30,24:24
2000-01-03,28:56
2000-01-04,28:51
2000-01-06,32:56
2000-01-08,23:08
2000-01-10,32:35
2000-01-12,35:50
2000-01-14,36:25
2000-01-15,30:28
2000-01-18,26:06
2000-01-19,32:52
2000-01-22,35:29
2000-01-24,28:40
2000-01-27,29:21
2000-01-29,24:31
2000-02-03,35:35
2000-02-04,32:55
2000-02-06,36:25
2000-02-07,21:54
2000-02-09,29:41
2000-02-15,31:23
2000-02-16,34:14
2000-02-18,33:18
2000-02-20,36:14
2000-02-21,27:08
2000-02-24,38:00
2000-02-27,31:54
2000-02-29,31:38
2000-03-08,32:31
2000-03-09,31:00
2000-03-11,29:37
2000-03-12,29:34
2000-03-14,30:13
2000-03-16,33:10
2000-03-18,33:19
2000-03-22,29:01
2000-03-24,36:18
2000-03-26,36:51
2000-03-28,33:18
2000-03-30,26:30
2000-04-01,29:34
2000-04-02,31:31
2000-04-05,25:51
2000-04-06,30:39
2000-04-08,22:59
2000-04-10,32:26
2000-04-11,25:31
2000-04-13,29:26
2000-04-16,35:56
2000-04-18,29:18
2000-04-19,24:00
