Date,MP
1999-11-02,25:08
1999-11-03,20:41
1999-11-05,34:23
1999-11-06,25:22
1999-11-09,27:44
1999-11-12,34:32
1999-11-13,16:16
1999-11-16,24:00
1999-11-17,26:04
1999-11-19,24:00
1999-11-20,33:45
1999-11-23,25:07
1999-11-24,17:17
1999-11-26,21:39
1999-11-27,9:11
1999-11-29,15:46
1999-12-01,32:19
1999-12-03,20:39
1999-12-05,14:54
1999-12-07,27:16
1999-12-16,23:40
1999-12-17,21:41
1999-12-20,28:26
1999-12-21,7:52
1999-12-23,25:04
1999-12-28,12:19
1999-12-30,13:57
2000-01-03,19:02
2000-01-04,19:52
2000-01-06,18:27
2000-01-08,26:26
2000-01-10,19:44
2000-01-12,25:18
2000-01-14,31:23
2000-01-15,23:41
2000-01-18,3:23
2000-01-19,22:46
2000-01-22,13:05
2000-01-24,19:03
2000-01-27,24:00
2000-01-29,17:35
2000-02-01,29:09
2000-02-03,16:32
2000-02-04,18:53
2000-02-06,17:28
2000-02-07,22:05
2000-02-09,24:08
2000-02-15,19:35
2000-02-16,14:45
2000-02-18,22:06
2000-02-20,18:00
2000-02-21,14:09
2000-02-24,24:00
2000-02-27,21:17
2000-02-29,17:54
2000-03-03,29:02
2000-03-06,31:18
2000-03-08,22:41
2000-03-09,30:01
2000-03-11,22:56
2000-03-12,27:05
2000-03-14,26:04
2000-03-16,13:35
2000-03-18,19:00
2000-03-22,22:08
2000-03-24,15:24
2000-03-26,15:41
2000-03-28,17:11
2000-03-30,21:22
2000-04-01,26:32
2000-04-02,29:06
2000-04-05,20:20
2000-04-06,21:54
2000-04-08,17:39
2000-04-16,18:52
2000-04-18,19:27
2000-04-19,24:00
