Date,MP
1999-11-02,22:27
1999-11-03,17:56
1999-11-05,16:59
1999-11-06,16:56
1999-11-09,11:20
1999-11-12,21:33
1999-11-13,22:05
1999-11-16,24:00
1999-11-17,14:43
1999-11-19,14:04
1999-11-20,24:18
1999-11-23,16:30
1999-11-24,12:13
1999-11-26,20:43
1999-11-27,19:25
1999-11-29,15:32
1999-12-01,25:09
1999-12-03,13:34
1999-12-05,14:14
1999-12-07,37:20
1999-12-09,14:08
1999-12-11,20:36
1999-12-16,21:52
1999-12-17,20:40
1999-12-20,17:31
1999-12-21,36:30
1999-12-23,18:47
1999-12-28,19:15
1999-12-30,23:36
2000-01-03,19:04
2000-01-04,19:09
2000-01-06,15:04
2000-01-08,24:52
2000-01-10,15:25
2000-01-12,12:10
2000-01-14,13:55
2000-01-15,23:18
2000-01-18,21:54
2000-01-19,15:08
2000-01-22,8:27
2000-01-24,19:20
2000-01-27,19:35
2000-01-29,23:29
2000-02-01,37:25
2000-02-03,13:35
2000-02-04,14:58
2000-02-06,12:13
2000-02-07,26:06
2000-02-09,20:14
2000-02-15,17:15
2000-02-16,14:02
2000-02-18,14:42
2000-02-20,16:29
2000-02-21,21:48
2000-02-24,18:09
2000-02-27,16:06
2000-02-29,15:41
2000-03-03,31:08
2000-03-06,24:52
2000-03-08,15:29
2000-03-09,21:31
2000-03-11,18:23
2000-03-12,18:26
2000-03-14,17:47
2000-03-16,14:50
2000-03-18,14:33
2000-03-22,18:59
2000-03-24,11:42
2000-03-26,11:09
2000-03-28,14:42
2000-03-30,21:43
2000-04-01,14:02
2000-04-02,16:29
2000-04-05,22:09
2000-04-06,17:21
2000-04-08,25:01
2000-04-10,15:47
2000-04-11,24:17
2000-04-13,22:50
2000-04-16,12:13
2000-04-18,18:42
2000-04-19,24:00
