Date,MP
1999-11-02,13:09
1999-11-03,7:31
1999-11-05,21:40
1999-11-06,4:48
1999-11-09,6:41
1999-11-12,6:41
1999-11-13,24:42
1999-11-19,11:41
1999-11-20,9:29
1999-11-23,2:37
1999-11-24,10:22
1999-11-26,13:18
1999-11-27,14:00
1999-11-29,6:20
1999-12-11,10:05
1999-12-16,8:33
1999-12-20,6:33
1999-12-21,3:13
1999-12-23,17:54
1999-12-28,5:27
1999-12-30,7:06
2000-01-03,17:57
2000-01-04,4:48
2000-01-06,5:50
2000-01-08,3:45
2000-01-10,7:15
2000-01-12,8:44
2000-01-14,12:30
2000-01-15,1:02
2000-01-19,9:59
2000-01-27,22:48
2000-01-29,15:49
2000-02-01,15:53
2000-02-03,9:31
2000-02-04,7:22
2000-02-06,13:06
2000-02-07,16:57
2000-02-09,15:00
2000-02-15,6:16
2000-02-16,5:47
2000-02-18,12:48
2000-02-20,14:54
2000-02-21,19:27
2000-02-24,12:59
2000-02-27,10:55
2000-02-29,7:02
2000-03-03,16:17
2000-03-06,3:08
2000-03-08,16:56
2000-03-09,14:47
2000-03-11,2:55
2000-03-12,29:28
2000-03-14,16:39
2000-03-16,23:50
2000-03-18,5:27
2000-03-22,11:57
2000-03-24,31:00
2000-03-26,18:19
2000-03-28,11:39
2000-03-30,13:53
2000-04-01,23:13
2000-04-02,18:14
2000-04-05,11:41
2000-04-06,14:00
2000-04-08,19:11
2000-04-10,10:49
2000-04-11,14:02
2000-04-13,13:45
2000-04-16,2:30
2000-04-19,22:57
