Date,MP
1999-11-02,26:58
1999-11-03,34:45
1999-11-05,15:57
1999-11-09,25:28
1999-11-12,30:37
1999-11-13,24:38
1999-11-16,40:16
1999-11-17,38:36
1999-11-19,40:43
1999-11-20,37:59
1999-11-23,40:16
1999-11-24,42:20
1999-11-26,42:14
1999-11-27,31:02
1999-11-29,39:13
1999-12-01,37:37
1999-12-03,32:05
1999-12-05,38:30
1999-12-07,39:58
1999-12-09,39:58
1999-12-11,35:39
1999-12-16,33:50
1999-12-17,39:57
1999-12-20,32:32
1999-12-21,30:11
1999-12-23,30:38
1999-12-28,37:16
1999-12-30,41:03
2000-01-03,29:02
2000-01-04,36:52
2000-01-06,42:10
2000-01-08,30:30
2000-01-10,28:16
2000-01-12,39:06
2000-01-14,21:54
2000-01-15,26:26
2000-01-18,40:39
2000-01-19,37:55
2000-01-22,41:42
2000-01-24,35:35
2000-01-27,24:16
2000-01-29,37:03
2000-02-01,36:51
2000-02-03,35:48
2000-02-04,32:05
2000-02-06,43:02
2000-02-07,34:07
2000-02-09,37:00
2000-02-15,32:22
2000-02-16,35:47
2000-02-18,34:40
2000-02-20,46:05
2000-02-21,36:33
2000-02-24,24:48
2000-02-27,30:40
2000-02-29,42:52
2000-03-03,42:08
2000-03-06,42:32
2000-03-08,29:51
2000-03-09,47:18
2000-03-11,34:57
2000-03-12,32:27
2000-03-14,32:17
2000-03-16,26:33
2000-03-18,39:17
2000-03-22,40:03
2000-03-24,38:14
2000-03-26,45:29
2000-03-28,42:51
2000-03-30,42:24
2000-04-01,32:00
2000-04-02,10:55
2000-04-05,38:50
2000-04-06,43:09
2000-04-08,39:38
2000-04-10,28:27
2000-04-11,38:56
2000-04-13,32:30
2000-04-16,35:06
2000-04-18,30:19
2000-04-19,25:25
