Date,MP
1999-11-02,35:20
1999-11-03,39:41
1999-11-05,32:57
1999-11-06,41:23
1999-11-09,37:51
1999-11-12,36:32
1999-11-13,23:02
1999-11-16,38:38
1999-11-17,30:32
1999-11-19,38:44
1999-11-20,31:32
1999-11-23,25:33
1999-11-24,40:29
1999-11-26,43:08
1999-11-27,33:00
1999-11-29,38:42
1999-12-01,31:19
1999-12-03,35:44
1999-12-05,40:55
1999-12-07,30:52
1999-12-09,42:09
1999-12-11,39:57
1999-12-16,27:03
1999-12-17,40:00
1999-12-20,33:15
1999-12-21,38:01
1999-12-23,22:22
1999-12-28,39:25
1999-12-30,36:36
2000-01-03,26:20
2000-01-04,32:33
2000-01-06,41:13
2000-01-08,38:43
2000-01-10,33:27
2000-01-12,35:41
2000-01-14,40:58
2000-01-15,41:54
2000-01-18,34:51
2000-01-19,25:14
2000-01-22,39:57
2000-01-24,34:09
2000-01-27,24:00
2000-01-29,32:08
2000-02-01,34:36
2000-02-03,37:09
2000-02-04,35:31
2000-02-06,37:36
2000-02-07,26:27
2000-02-09,29:49
2000-02-15,28:25
2000-02-16,35:24
2000-02-18,27:13
2000-02-20,39:25
2000-02-21,34:14
2000-02-24,26:13
2000-02-27,30:13
2000-02-29,41:46
2000-03-03,35:28
2000-03-06,31:49
2000-03-08,26:12
2000-03-09,20:04
2000-03-11,38:57
2000-03-12,26:37
2000-03-14,37:21
2000-03-16,36:49
2000-03-18,36:36
2000-03-22,25:06
2000-03-24,39:15
2000-03-26,38:19
2000-03-28,44:48
2000-03-30,35:04
2000-04-01,11:18
2000-04-02,40:05
2000-04-05,32:07
2000-04-06,27:02
2000-04-08,34:21
2000-04-10,34:17
2000-04-11,29:08
2000-04-13,30:36
2000-04-16,25:08
2000-04-18,24:09
2000-04-19,20:29
