Date,MP
1999-11-02,2:51
1999-11-03,2:19
1999-11-05,12:24
1999-11-06,20:24
1999-11-09,10:09
1999-11-12,9:39
1999-11-13,24:25
1999-11-16,6:39
1999-11-17,4:28
1999-11-19,9:16
1999-11-20,3:28
1999-11-23,17:58
1999-11-24,4:05
1999-11-26,9:44
1999-11-27,17:57
1999-11-29,10:31
1999-12-01,2:56
1999-12-03,5:59
1999-12-05,9:30
1999-12-07,7:49
1999-12-09,7:58
1999-12-11,16:05
1999-12-16,21:17
1999-12-17,10:03
1999-12-20,20:16
1999-12-21,19:52
1999-12-23,3:17
1999-12-28,7:28
1999-12-30,0:06
2000-01-03,12:50
2000-01-04,3:44
2000-01-10,19:44
2000-01-12,4:52
2000-01-15,6:06
2000-01-18,13:09
2000-01-22,6:00
2000-02-01,12:25
2000-02-18,11:51
2000-02-20,1:19
2000-03-03,11:05
2000-03-06,14:12
2000-03-08,24:08
2000-03-09,9:51
2000-03-11,5:03
2000-03-12,4:41
2000-03-22,9:49
2000-03-24,4:30
2000-03-30,12:56
2000-04-01,27:39
2000-04-02,8:33
2000-04-05,15:53
2000-04-06,6:50
2000-04-08,16:53
2000-04-10,20:40
2000-04-11,24:38
2000-04-13,9:45
2000-04-16,20:11
2000-04-18,23:55
2000-04-19,26:06
